@relation D2a

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute y {0, 1}

@data
0.017403,0.019942,0.008253,0.004365,-0.471445,-0.419315,0
-0.010808,0.004476,-0.001524,0.020466,-1.56775,0.134736,1
0.006735,0.006574,-0.010313,-0.004513,0.357651,0.423929,1
0.013471,0.005232,-0.013858,-0.017247,0.134788,-0.841212,0
0.005963,0.0143,-0.00147,0.001265,0.145578,-1.04391,0
0.006366,-0.011091,-0.00459,0.000149,-0.935427,0.962217,1
0.028556,-0.011698,0.007905,-0.010002,-0.502646,-0.521089,0
0.00525,0.008772,0.000356,-0.005015,-0.204228,0.83164,1
-0.017439,-0.010643,-0.013172,0.005016,-1.56663,0.507656,1
-0.003939,0.000224,0.012037,0.014069,0.47884,-1.07781,0
-0.000458,-0.000631,0.002229,0.008948,-1.45543,-0.238881,1
0.002297,0.004976,-0.021266,0.01758,-0.419197,1.05279,1
0.015323,-0.007313,-0.01103,0.007791,0.143774,0.728855,1
-0.004839,0.011991,-0.001996,-0.000594,1.58749,-0.068233,0
-0.007446,0.010688,-0.004234,-0.003791,0.156356,0.689132,1
0.007949,-0.001983,-0.008127,0.011491,-0.45352,-0.028299,0
0.00802,0.002256,0.004896,-0.013361,1.36872,-0.546867,0
0.010346,0.008641,0.00834,-0.012132,-1.29427,0.569743,1
-0.003819,0.005829,-0.002729,-0.003865,0.494065,-0.878583,0
0.017957,0.00387,-0.00646,0.017761,1.05364,-0.803483,0
0.000397,-0.00213,0.01636,0.015432,-0.525468,-0.203958,0
-0.002224,0.009044,0.008069,-0.004316,-0.559975,1.14282,1
-0.007356,0.000881,-0.005337,-0.001456,0.493179,-1.13211,0
0.003068,0.013919,0.007568,0.001541,-0.603121,0.230647,0
0.007341,0.000979,-0.013774,-0.002624,-1.35352,0.382655,1
-0.004816,-0.02097,-0.010511,0.003815,-1.08095,0.95182,1
0.003826,-0.011645,-0.004359,-0.00069,1.41051,-0.401766,0
-0.002503,-0.016918,0.003272,-0.008273,-0.607943,-0.033115,0
-0.010808,-0.004085,0.003224,-0.007588,-1.3729,0.134363,1
0.010954,0.001647,0.00157,-0.01257,-0.630305,1.04149,1
-0.013617,-0.000348,-0.000403,-0.001117,-0.249516,-0.829855,0
-0.012698,-0.005566,0.002064,0.007714,-0.583549,-0.298999,0
0.001792,0.009526,0.0057,-0.002139,-0.507666,1.13467,1
-0.001997,0.00309,-0.013916,0.013504,-0.411425,0.115505,0
0.004947,-0.017327,-0.01369,-0.011448,-0.554062,0.957705,1
0.00019,0.012043,-0.015659,0.001114,-0.142726,-0.661234,0
0.004766,0.000815,-0.012642,0.008037,1.25179,-0.808908,0
-0.010346,0.004656,-0.011041,-0.002407,-1.52392,-0.519564,1
0.01838,0.009482,0.007789,-0.005782,1.54822,-0.16402,0
0.010994,-0.011269,0.002276,-0.00805,-0.20189,0.885052,1
0.009478,0.009333,0.008278,0.005984,1.00124,-0.935438,0
0.020583,-0.011109,-0.001715,-0.000432,-0.543276,1.02436,1
0.002598,-0.004765,-0.015644,-0.006395,-0.03735,0.824636,1
0.013272,0.007826,-0.00152,-0.014154,-1.0142,0.993448,1
-0.009798,-0.001576,-0.019837,0.007095,1.23908,-0.593106,0
0.001055,-0.000803,0.0006,0.019481,-1.3858,0.070559,1
0.006245,-0.014351,0.00226,0.001345,-1.00536,0.909711,1
-0.005564,0.011376,0.012279,-0.013891,0.374622,0.215977,1
-0.004739,-0.007556,0.00025,-0.006159,-0.886044,0.984867,1
0.006395,-0.007581,-0.007409,-0.012755,0.877652,-0.984999,0
0.028121,-0.007202,-0.024452,0.010287,-0.574573,0.96495,1
0.006206,-0.007775,0.000609,0.008387,1.3968,-0.644935,0
0.013013,0.017589,-0.009411,-0.000258,0.533043,0.105745,1
0.020505,0.001865,-0.002909,0.004178,0.429292,-0.139932,1
-0.009583,-0.013853,0.004821,-0.000103,-0.258737,0.959675,1
-0.022635,-0.009546,-0.016937,0.001303,0.703918,-0.956176,0
0.007256,-0.022562,-0.009262,0.017901,-0.298349,-0.588145,0
0.013753,-0.005042,-0.01166,-0.002573,1.06388,-0.794034,0
0.001111,-0.005207,-0.010005,-0.005403,-1.00907,0.743896,1
0.01032,-0.011077,0.001965,0.003304,0.987415,-0.741531,0
-0.007465,0.000387,0.006048,-0.007028,-1.64768,-0.074022,1
-0.00871,0.013007,0.02537,0.009251,-0.266073,0.934986,1
0.000484,0.002489,-0.009555,-0.012062,0.248486,-1.09092,0
0.009195,0.006372,0.013938,0.008087,0.291884,-1.04225,0
-0.019534,-0.003739,0.003367,-0.013812,-0.364269,-0.429684,0
0.01142,-0.001667,0.007765,-0.004954,-0.207943,-0.709597,0
-0.01566,-0.006839,0.01265,0.01438,0.522254,0.020119,1
0.016893,-0.005742,0.011021,-0.008448,0.255788,-0.913482,0
-0.013268,0.007299,0.020504,-0.00295,1.14187,-0.948488,0
0.002373,0.024225,-0.010441,0.000087,-0.474462,-0.477629,0
-0.008553,-0.000948,0.005637,-0.002959,-0.290041,1.06798,1
-0.006663,0.001204,0.003808,-0.016641,-1.1193,0.906932,1
0.002126,0.008877,0.000009,-0.01195,-0.283114,-0.551746,0
-0.014692,-0.009748,-0.000226,-0.005379,1.42247,-0.172345,0
-0.000119,-0.007397,0.00132,-0.003128,-1.44413,-0.161934,1
-0.007997,-0.018879,-0.009327,-0.00244,0.718892,-0.971456,0
0.007178,-0.003664,-0.011669,0.007548,0.736335,-1.0805,0
0.016328,0.001325,-0.00236,0.012253,0.368352,0.009447,1
0.004603,0.007379,0.004081,0.004477,0.081941,0.90272,1
-0.004432,0.008278,0.02856,0.010663,1.63351,0.036267,0
-0.009785,0.010813,0.001286,0.010681,-1.31852,0.725019,1
-0.011331,-0.019432,-0.016757,0.000015,1.48383,-0.183975,0
-0.001737,-0.002638,-0.000917,-0.01666,1.31793,-0.629468,0
-0.018844,-0.007598,0.001225,0.009948,-0.903035,0.806729,1
0.013273,-0.003125,-0.001828,-0.011506,-0.364153,-0.475455,0
-0.003958,-0.004881,0.000485,0.005489,-1.33207,0.654376,1
-0.015376,0.009307,0.012487,-0.005811,0.131241,-1.02519,0
0.012503,0.020168,-0.004153,0.000126,0.193775,0.716444,1
0.007703,-0.000478,0.002532,0.000747,-1.53149,0.128739,1
-0.016198,0.015238,-0.012679,0.00656,-1.35963,0.314804,1
0.022012,0.012403,0.000082,-0.001453,-1.27402,0.365477,1
0.006414,0.006087,-0.004374,-0.00448,0.361434,-0.890458,0
-0.004974,0.003062,0.013077,-0.002789,-1.34191,0.153075,1
0.000038,0.009945,0.009015,-0.00152,0.73526,-1.03089,0
-0.00636,-0.010035,0.009128,0.003197,-1.23096,0.646778,1
0.027144,0.003187,0.00014,-0.001589,-0.756386,0.874578,1
-0.010806,0.003257,-0.000627,-0.005101,-1.14686,0.670746,1
-0.006319,0.015779,-0.005973,0.009605,0.349067,0.291084,1
0.00759,0.021999,0.018995,-0.014001,1.55225,0.140849,0
-0.022378,0.006175,0.001506,0.00589,1.64328,-0.232162,0
0.003717,0.01565,0.006465,-0.013594,1.07478,-0.895574,0
-0.013943,-0.005986,-0.008404,0.011619,-1.50754,0.377217,1
0.010903,0.003851,-0.010679,0.003422,0.892565,-0.885734,0
-0.007453,0.021624,-0.001134,-0.004038,-0.288601,-0.669818,0
0.004725,-0.009262,-0.002134,0.01275,1.15971,-0.689606,0
-0.001233,-0.005604,-0.001132,0.007249,1.39506,-0.36345,0
0.005298,-0.011387,0.002591,0.007805,-0.561071,0.429076,0
0.004817,0.002124,-0.006143,-0.00999,-1.56382,0.23055,1
-0.013299,0.007512,0.015359,-0.003526,-0.430134,0.222631,0
-0.011393,-0.007242,-0.004942,-0.009086,-0.5513,0.886086,1
0.005217,-0.023769,-0.005942,-0.007131,0.390085,0.044445,1
-0.010774,0.005447,0.000684,-0.006208,-0.244045,-0.596456,0
-0.004932,-0.016071,-0.002929,0.009105,-0.656573,0.877313,1
0.006274,-0.016386,0.01211,0.018925,-1.37084,0.114618,1
-0.005358,-0.000907,-0.021047,-0.028232,-0.71032,0.942728,1
0.001972,0.023455,0.012613,0.012511,-1.60772,-0.305411,1
0.010209,0.015004,0.004938,-0.011071,0.502423,0.28015,1
-0.000027,0.001596,0.008524,-0.022024,-1.4239,-0.050869,1
0.003733,0.00769,-0.003524,0.005887,-1.35764,0.300045,1
0.011258,-0.004979,0.00945,0.006987,1.40472,-0.531152,0
0.00169,-0.002876,0.001391,0.014441,0.350403,0.264596,1
0.014882,0.006761,0.003541,0.000202,0.16928,0.684717,1
0.015324,0.009648,0.010977,0.000578,-0.354538,0.307137,0
0.011066,-0.008568,-0.012243,-0.003046,-0.078668,-0.960542,0
0.009724,0.023672,0.006134,0.014563,-1.14742,0.922032,1
-0.001856,0.008637,-0.005559,0.003802,-1.42833,-0.278206,1
-0.003794,-0.013735,0.008252,-0.003814,-0.265672,-0.683123,0
-0.002368,-0.003366,-0.002201,-0.002786,1.32892,-0.412282,0
0.000734,0.006707,-0.006671,0.002931,0.492147,-0.218448,1
0.004281,-0.008197,0.016543,-0.004988,0.531413,0.467517,1
0.002284,-0.007039,0.00648,0.005229,-1.61766,0.026038,1
0.020366,-0.012254,0.025746,0.007734,0.645805,-0.941474,0
-0.026771,-0.010521,-0.011501,0.01692,0.404816,0.252082,1
-0.000741,0.012408,-0.005438,0.005308,0.213624,0.513316,1
-0.001049,0.000529,0.001518,0.011807,-1.59094,-0.11096,1
-0.004494,-0.008997,-0.010628,-0.00405,-0.447793,1.13377,1
-0.000641,0.006329,0.006417,0.006423,0.083049,0.639174,1
-0.005687,0.000323,0.000383,-0.008496,-0.442887,1.03909,1
-0.003169,-0.013501,-0.004898,-0.001643,0.580349,0.046458,1
0.013592,0.012836,-0.008755,-0.001595,-0.401611,-0.084511,0
-0.003052,0.012838,0.021436,-0.005134,-1.47024,0.432083,1
0.001793,-0.000969,0.000723,-0.001749,0.90306,-0.84967,0
0.002607,0.005209,-0.01523,-0.012964,1.32984,-0.391406,0
-0.015827,0.004238,-0.008994,-0.004289,-0.026793,-0.834512,0
0.006042,0.015376,-0.004455,0.017403,-0.838658,0.793064,1
-0.004083,-0.018371,-0.001524,0.00487,-0.69775,1.09828,1
0.004003,0.0112,-0.006634,0.014912,1.16116,-0.733751,0
0.008379,0.009924,0.004336,-0.013988,-1.28848,0.443773,1
-0.001551,0.005481,0.017262,0.015657,-1.3842,0.526523,1
-0.00611,-0.004407,-0.01381,-0.009315,-0.076601,-0.707686,0
